key,src,size,dram,oscm,osc,dl,total
1048576B/key167,2,1048576,89,1429,0,714525,716819
1048576B/key168,2,1048576,81,1419,0,1123994,1126322
1048576B/key169,2,1048576,97,1547,0,2237588,2240058
1048576B/key170,2,1048576,78,1389,0,894400,896785
1048576B/key171,2,1048576,87,1409,0,714098,716340
1048576B/key172,2,1048576,90,1393,0,609204,611469
1048576B/key173,2,1048576,113,1415,0,599262,601506
1048576B/key174,2,1048576,91,1619,0,657048,659521
1048576B/key175,2,1048576,104,1395,0,759792,762065
1048576B/key176,2,1048576,87,1785,0,592840,595426
1048576B/key177,2,1048576,96,1394,0,661919,677271
1048576B/key178,2,1048576,101,1612,0,2453515,2455973
1048576B/key179,2,1048576,91,1399,0,782008,784215
1048576B/key180,2,1048576,84,1359,0,2272718,2274971
1048576B/key181,2,1048576,91,1408,0,1778245,1780457
1048576B/key182,2,1048576,96,1379,0,672943,675170
1048576B/key183,2,1048576,92,1371,0,654261,656464
1048576B/key184,2,1048576,94,1351,0,665832,667998
1048576B/key185,2,1048576,88,1374,0,823713,825890
1048576B/key186,2,1048576,88,1361,0,671478,673632
1048576B/key187,2,1048576,91,1365,0,1651166,1653386
1048576B/key188,2,1048576,121,1558,0,930867,933263
1048576B/key189,2,1048576,91,1290,0,2094932,2097054
1048576B/key190,2,1048576,105,1397,0,642469,644705
1048576B/key191,2,1048576,95,1420,0,624568,626886
1048576B/key192,2,1048576,118,1547,0,599974,602363
1048576B/key193,2,1048576,124,1570,0,597897,600324
1048576B/key194,2,1048576,86,1389,0,671991,674248
1048576B/key195,2,1048576,101,1640,0,682779,685234
1048576B/key196,2,1048576,87,1361,0,684235,686407
1048576B/key197,2,1048576,89,1430,0,616424,618640
1048576B/key198,2,1048576,83,1341,0,614185,616315
1048576B/key199,2,1048576,85,1372,0,676398,678581
1048576B/key200,2,1048576,84,1436,0,592193,594418
1048576B/key201,2,1048576,94,1342,0,663079,665268
1048576B/key202,2,1048576,94,1361,0,699825,702021
1048576B/key203,2,1048576,107,1434,0,852138,854506
1048576B/key204,2,1048576,101,1537,0,679650,682119
1048576B/key205,2,1048576,92,1542,0,684643,687059
1048576B/key206,2,1048576,91,1405,0,414962,417224
1048576B/key207,2,1048576,93,1381,0,481060,483388
1048576B/key208,2,1048576,101,1497,0,605908,608312
1048576B/key209,2,1048576,91,1407,0,625945,628212
1048576B/key210,2,1048576,96,1465,0,724388,726734
1048576B/key211,2,1048576,92,1453,0,656336,658604
1048576B/key212,2,1048576,92,1488,0,607783,610123
1048576B/key213,2,1048576,101,1412,0,733700,735925
1048576B/key214,2,1048576,86,1494,0,601031,603320
1048576B/key215,2,1048576,92,1448,0,625425,627641
1048576B/key216,2,1048576,80,1472,0,665931,668200
1048576B/key217,2,1048576,80,1484,0,662185,664500
1048576B/key218,2,1048576,80,1436,0,600562,602795
1048576B/key219,2,1048576,88,1442,0,659997,662247
1048576B/key220,2,1048576,92,1411,0,663698,665957
1048576B/key221,2,1048576,114,1612,0,784260,786707
1048576B/key222,2,1048576,88,1802,0,652061,654941
1048576B/key223,2,1048576,92,1577,0,743053,745460
1048576B/key224,2,1048576,96,1441,0,668933,671225
1048576B/key225,2,1048576,93,1783,0,470545,473245
1048576B/key226,2,1048576,92,1536,0,463283,465710
1048576B/key227,2,1048576,89,1759,0,475912,478584
1048576B/key228,2,1048576,86,1523,0,475891,478305
1048576B/key229,2,1048576,87,1487,0,410205,412488
1048576B/key230,2,1048576,91,1808,0,625877,628553
1048576B/key231,2,1048576,118,1451,0,599974,602284
1048576B/key232,2,1048576,104,1524,0,680380,682783
1048576B/key233,2,1048576,89,1924,0,680664,683441
1048576B/key234,2,1048576,89,1781,0,652766,655439
1048576B/key235,2,1048576,98,1474,0,690328,692705
1048576B/key236,2,1048576,94,1525,0,645569,647996
1048576B/key237,2,1048576,83,1473,0,663741,666120
1048576B/key238,2,1048576,185,1661,0,2254150,2256762
1048576B/key239,2,1048576,83,1756,0,675585,678216
1048576B/key240,2,1048576,88,2060,0,676816,679704
1048576B/key241,2,1048576,84,1750,0,2007411,2010033
1048576B/key242,2,1048576,86,2013,0,409602,412480
1048576B/key243,2,1048576,113,1906,0,469895,472726
1048576B/key244,2,1048576,75,1855,0,470590,473278
1048576B/key245,2,1048576,86,1740,0,483566,486156
1048576B/key246,2,1048576,88,1530,0,672863,675264
1048576B/key247,2,1048576,113,7265,0,649400,657573
1048576B/key248,2,1048576,97,1719,0,847551,850095
1048576B/key249,2,1048576,93,1687,0,659995,662512
1048576B/key250,2,1048576,108,1468,0,609337,611674
1048576B/key251,2,1048576,92,1916,0,622975,625749
1048576B/key252,2,1048576,85,1442,0,600962,603171
1048576B/key253,2,1048576,86,1945,0,640400,643244
1048576B/key254,2,1048576,95,1409,0,682047,684357
1048576B/key255,2,1048576,97,1804,0,732523,735289
1048576B/key256,2,1048576,125,1715,0,673984,676608
1048576B/key257,2,1048576,91,1868,0,735684,738437
1048576B/key258,2,1048576,85,1686,0,610229,612711
1048576B/key259,2,1048576,83,1756,0,613532,616173
1048576B/key260,2,1048576,87,1981,0,624548,627360
1048576B/key261,2,1048576,87,1542,0,703291,705726
1048576B/key262,2,1048576,102,1902,0,552036,554848
1048576B/key263,2,1048576,90,1479,0,419416,421721
1048576B/key264,2,1048576,87,1539,0,413785,416465
1048576B/key265,2,1048576,101,2004,0,730648,733529
1048576B/key266,2,1048576,99,1986,0,601847,604828
1048576B/key267,2,1048576,97,1708,0,665582,668176
1048576B/key268,2,1048576,89,1503,0,688015,690369
1048576B/key269,2,1048576,106,1611,0,610485,612979
1048576B/key270,2,1048576,96,1492,0,694664,697032
1048576B/key271,2,1048576,87,1446,0,610092,612459
1048576B/key272,2,1048576,132,1658,0,689332,691921
1048576B/key273,2,1048576,85,1919,0,667590,670338
1048576B/key274,2,1048576,103,1458,0,620706,623092
1048576B/key275,2,1048576,92,1765,0,619588,622226
1048576B/key276,2,1048576,91,1951,0,1154534,1157328
1048576B/key277,2,1048576,83,1915,0,804015,806756
1048576B/key278,2,1048576,103,1642,0,616293,618903
1048576B/key279,2,1048576,101,1895,0,727875,730684
1048576B/key280,2,1048576,95,1954,0,615800,618628
1048576B/key281,2,1048576,82,1917,0,475561,478455
1048576B/key282,2,1048576,97,1821,0,416440,489772
1048576B/key283,2,1048576,474,2270,0,679945,683478
1048576B/key284,2,1048576,86,1958,0,839767,842593
1048576B/key285,2,1048576,85,1903,0,600000,602714
1048576B/key286,2,1048576,87,1804,0,619258,621886
1048576B/key287,2,1048576,79,1434,0,742994,745298
1048576B/key288,2,1048576,125,2113,0,687917,690997
1048576B/key289,2,1048576,95,1719,0,622745,625324
1048576B/key290,2,1048576,81,1767,0,613809,616382
1048576B/key291,2,1048576,90,1523,0,608038,610377
1048576B/key292,2,1048576,77,1646,0,640522,642991
1048576B/key293,2,1048576,88,1839,0,628145,630870
1048576B/key294,2,1048576,96,1747,0,729204,731876
1048576B/key295,2,1048576,86,1884,0,617150,619897
1048576B/key296,2,1048576,88,1839,0,739523,742210
1048576B/key297,2,1048576,85,1846,0,724740,727517
1048576B/key298,2,1048576,120,1711,0,690981,693567
1048576B/key299,2,1048576,90,1825,0,744250,766669
1048576B/key300,2,1048576,121,1716,0,541090,543761
1048576B/key301,2,1048576,90,1560,0,634408,636870
1048576B/key302,2,1048576,79,1732,0,603059,605704
1048576B/key303,2,1048576,75,1796,0,603163,605896
1048576B/key304,2,1048576,97,1929,0,672297,675001
1048576B/key305,2,1048576,72,1674,0,619993,622204
1048576B/key306,2,1048576,73,1629,0,657454,659714
1048576B/key307,2,1048576,69,1502,0,606511,608615
1048576B/key308,2,1048576,68,1403,0,659602,661735
1048576B/key309,2,1048576,72,1502,0,626563,628623
1048576B/key310,2,1048576,65,1706,0,673932,676185
1048576B/key311,2,1048576,61,1345,0,955579,957555
1048576B/key312,2,1048576,70,1337,0,910978,912880
1048576B/key313,2,1048576,64,1746,0,589841,592246
1048576B/key314,2,1048576,63,1552,0,663217,665330
1048576B/key315,2,1048576,67,1541,0,630164,632548
1048576B/key316,2,1048576,85,1533,0,681924,684372
1048576B/key317,2,1048576,87,1980,0,603965,606765
1048576B/key318,2,1048576,93,5056,0,415432,421273
1048576B/key319,2,1048576,71,1538,0,416929,419154
1048576B/key320,2,1048576,82,1665,0,410849,413312
1048576B/key321,2,1048576,81,1591,0,601138,603365
1048576B/key322,2,1048576,56,1724,0,593839,596174
1048576B/key323,2,1048576,62,1686,0,616201,618514
1048576B/key324,2,1048576,66,1536,0,2253314,2255565
1048576B/key325,2,1048576,64,1558,0,699806,701978
1048576B/key326,2,1048576,64,1685,0,787263,789587
1048576B/key327,2,1048576,65,1669,0,903402,905686
1048576B/key328,2,1048576,65,1732,0,733103,735619
1048576B/key329,2,1048576,67,1550,0,628392,630704
1048576B/key330,2,1048576,69,1820,0,681582,684146
1048576B/key331,2,1048576,70,1417,0,779127,781225
1048576B/key332,2,1048576,65,1458,0,701880,704577
1048576B/key333,2,1048576,74,1973,0,667511,670222
1048576B/key334,2,1048576,81,3066,0,712065,715882
1048576B/key335,2,1048576,73,1391,0,410479,412603
1048576B/key336,2,1048576,78,1900,0,399433,402141
1048576B/key337,2,1048576,72,1223,0,415105,417055
1048576B/key338,2,1048576,58,1304,0,405778,407686
1048576B/key339,2,1048576,64,1748,0,584077,586459
1048576B/key340,2,1048576,55,1682,0,598109,600434
1048576B/key341,2,1048576,63,1683,0,616350,618548
1048576B/key342,2,1048576,58,1606,0,713126,715256
1048576B/key343,2,1048576,57,1622,0,737929,740104
1048576B/key344,2,1048576,58,1338,0,596087,597969
1048576B/key345,2,1048576,56,1737,0,593799,596122
1048576B/key346,2,1048576,60,1682,0,656725,658978
1048576B/key347,2,1048576,59,1712,0,661928,664160
1048576B/key348,2,1048576,59,1518,0,719693,721759
1048576B/key349,2,1048576,65,1513,0,656206,658302
1048576B/key350,2,1048576,72,1295,0,1207876,1209794
1048576B/key351,2,1048576,62,1249,0,741833,743911
1048576B/key352,2,1048576,99,1840,0,664277,667391
1048576B/key353,2,1048576,75,1294,0,632427,634507
1048576B/key354,2,1048576,78,1372,0,650981,653116
1048576B/key355,2,1048576,59,1373,0,411327,413344
1048576B/key356,2,1048576,74,1270,0,432528,434441
1048576B/key357,2,1048576,56,1303,0,770881,772828
1048576B/key358,2,1048576,65,1279,0,672244,674222
1048576B/key359,2,1048576,57,1311,0,594630,596661
1048576B/key360,2,1048576,63,1321,0,628545,630532
1048576B/key361,2,1048576,67,1277,0,611444,613364
1048576B/key362,2,1048576,61,1271,0,587766,589684
1048576B/key363,2,1048576,59,1304,0,714878,716892
1048576B/key364,2,1048576,68,1304,0,601383,603383
