key,src,size,dram,oscm,osc,dl,total
4096B/key483,2,4096,71,1233,0,407097,408475
4096B/key484,2,4096,82,1315,0,402152,403632
4096B/key485,2,4096,82,1260,0,411450,412883
4096B/key486,2,4096,80,1214,0,417404,418783
4096B/key487,2,4096,76,1311,0,415947,417420
4096B/key488,2,4096,72,1212,0,446640,448012
4096B/key489,2,4096,87,1159,0,412444,413788
4096B/key490,2,4096,69,1312,0,563924,565404
4096B/key491,2,4096,77,1239,0,423882,425274
4096B/key492,2,4096,85,1221,0,415003,416380
4096B/key493,2,4096,74,1188,0,116876,118215
4096B/key494,2,4096,75,1186,0,118243,119582
4096B/key495,2,4096,97,1212,0,126948,128336
4096B/key496,2,4096,68,1180,0,125524,126855
4096B/key497,2,4096,80,1187,0,118548,119904
4096B/key498,2,4096,80,1210,0,126147,127517
4096B/key499,2,4096,78,1183,0,111848,113191
4096B/key500,2,4096,78,1192,0,116373,117712
4096B/key501,2,4096,85,1134,0,110010,111322
4096B/key502,2,4096,81,1185,0,116789,118129
4096B/key503,2,4096,71,1136,0,114939,116223
4096B/key504,2,4096,77,1228,0,140321,141701
4096B/key505,2,4096,72,1162,0,418312,419630
4096B/key506,2,4096,83,1200,0,424404,425782
4096B/key507,2,4096,90,1626,0,486244,488030
4096B/key508,2,4096,78,1195,0,430018,431367
4096B/key509,2,4096,83,1438,0,389718,391324
4096B/key510,2,4096,72,1338,0,395520,397008
4096B/key511,2,4096,78,1305,0,403545,405040
4096B/key512,2,4096,96,1283,0,396824,398287
4096B/key513,2,4096,78,1155,0,398930,400238
4096B/key514,2,4096,76,1185,0,411724,413062
4096B/key515,2,4096,93,1256,0,397434,398868
4096B/key516,2,4096,82,1312,0,415850,417332
4096B/key517,2,4096,77,1337,0,407462,408958
4096B/key518,2,4096,72,1244,0,416583,417980
4096B/key519,2,4096,81,1325,0,411670,413156
4096B/key520,2,4096,76,1276,0,446002,447441
4096B/key521,2,4096,81,1219,0,410515,411900
4096B/key522,2,4096,75,1231,0,401363,402750
4096B/key523,2,4096,70,1229,0,397139,398521
4096B/key524,2,4096,81,1285,0,403232,404679
4096B/key525,2,4096,68,1244,0,430674,432071
4096B/key526,2,4096,81,1261,0,413062,414490
4096B/key527,2,4096,87,1268,0,397465,398909
4096B/key528,2,4096,85,1285,0,422671,424116
4096B/key529,2,4096,86,1293,0,424300,425735
4096B/key530,2,4096,76,1255,0,506985,508385
4096B/key531,2,4096,62,1237,0,386492,387859
4096B/key532,2,4096,76,1177,0,125995,127324
4096B/key533,2,4096,71,1149,0,402570,403863
4096B/key534,2,4096,80,1155,0,116521,117825
4096B/key535,2,4096,70,1163,0,122000,123304
4096B/key536,2,4096,78,1201,0,104435,105774
4096B/key537,2,4096,78,1110,0,132052,133313
4096B/key538,2,4096,71,1175,0,108676,109988
4096B/key539,2,4096,76,1143,0,121369,122671
4096B/key540,2,4096,91,1475,0,122810,124477
4096B/key541,2,4096,89,1307,0,113132,114621
4096B/key542,2,4096,84,1207,0,149392,150749
4096B/key543,2,4096,2981,4083,0,117817,124959
4096B/key544,2,4096,105,1711,0,118601,120503
4096B/key545,2,4096,75,1342,0,411227,412724
4096B/key546,2,4096,71,1358,0,427007,428518
4096B/key547,2,4096,81,1292,0,411003,412464
4096B/key548,2,4096,85,1244,0,406751,408167
4096B/key549,2,4096,76,1288,0,432465,433918
4096B/key550,2,4096,82,1280,0,406491,407938
4096B/key551,2,4096,84,1218,0,389211,390630
4096B/key552,2,4096,89,1293,0,414582,416036
4096B/key553,2,4096,79,1139,0,403394,404689
4096B/key554,2,4096,68,1192,0,410853,412196
4096B/key555,2,4096,68,1226,0,407271,408648
4096B/key556,2,4096,72,1167,0,406693,408015
